id,customer,ordered_at,store_id,subtotal,tax_paid,order_total
4c0c65ab-e07e-4452-9a44-846e88a39836,6beb1871-cdac-40eb-83c5-93cf07cfd335,2018-09-01T09:43:00,e51d657a-7691-4fa1-8faf-541dfa13463c,3500,210,3710
cce665e2-0543-40a6-948a-ba174473a12f,b39517b1-8745-4ada-9ff0-6121371d8716,2018-09-01T14:11:00,e51d657a-7691-4fa1-8faf-541dfa13463c,600,36,636
3112c384-833f-4ce3-a5b4-d1ceae237e51,33431b4d-1e80-4fb7-afbb-b5256a9db9f6,2018-09-01T08:09:00,e51d657a-7691-4fa1-8faf-541dfa13463c,2400,144,2544
72f765ff-c135-4e65-8457-8084af365814,a7d0af49-f564-4665-a6de-1b44090cd55d,2018-09-01T13:56:00,e51d657a-7691-4fa1-8faf-541dfa13463c,500,30,530
09b20fa5-4f49-4dc7-9180-40680b67ae24,f65374bd-9234-4e7d-802d-744e87f8a8f1,2018-09-01T11:33:00,e51d657a-7691-4fa1-8faf-541dfa13463c,5500,330,5830
61587fb5-984a-4711-b316-dbf534c1cc29,9c7c2f49-6919-41b3-8ba8-e63886311cca,2018-09-01T08:44:00,e51d657a-7691-4fa1-8faf-541dfa13463c,700,42,742
f56aeeb8-50e6-43bb-b052-7ede1464fd5f,72671315-6f4b-4676-b1c6-ca8b322106d1,2018-09-01T12:50:00,e51d657a-7691-4fa1-8faf-541dfa13463c,1900,113,2013
d85ea74b-8781-4499-97f8-8ee4d476e32b,0343f390-957d-4502-9841-41d79891467a,2018-09-01T08:56:00,e51d657a-7691-4fa1-8faf-541dfa13463c,600,36,636
79f16c25-d06b-46ba-ac07-ac906746e220,51a80766-1c85-41b4-9371-45e9fa6437b5,2018-09-01T13:36:00,e51d657a-7691-4fa1-8faf-541dfa13463c,600,36,636
cbc40ea3-04b7-4d95-b8c4-e501662cc974,b92a4e29-1aed-460d-a88a-132ab7c52da0,2018-09-01T12:38:00,e51d657a-7691-4fa1-8faf-541dfa13463c,600,36,636
071c9bd5-6e9a-41e9-821a-53edff3c94d8,0fc87cdc-6b03-4197-9f40-eefc48ca200e,2018-09-01T13:15:00,e51d657a-7691-4fa1-8faf-541dfa13463c,3200,192,3392
2d158531-dcc3-4612-bf6b-50cc23b251dc,874575e7-5524-42e1-8ca0-8ff360c42fd7,2018-09-01T12:00:00,e51d657a-7691-4fa1-8faf-541dfa13463c,1800,108,1908
89665e80-d89c-474a-98d7-a35f1e8d491b,c36eb550-86d8-4ea8-b272-4694aaa38742,2018-09-01T11:50:00,e51d657a-7691-4fa1-8faf-541dfa13463c,500,30,530
70c8ec7c-df01-4ee9-98ee-4bf512a707fe,c6cdab4b-1e33-4cec-b15c-1e99515be4e6,2018-09-01T14:22:00,e51d657a-7691-4fa1-8faf-541dfa13463c,1700,102,1802
9dd69888-f3d4-483c-b8e4-067f8505ab9e,e1c955a0-c575-4f9a-a346-ab7093e667bf,2018-09-01T12:17:00,e51d657a-7691-4fa1-8faf-541dfa13463c,1200,72,1272
123f938c-6e28-4f42-add5-2dc594dea161,09b16882-0bc7-42ee-a29f-b0bb5a2783b4,2018-09-01T11:09:00,e51d657a-7691-4fa1-8faf-541dfa13463c,1500,89,1589
87afcc74-8bf0-4266-b40e-9bb7d3ed78da,035f67cc-3036-4339-97e9-9aa6e84453bc,2018-09-01T09:53:00,e51d657a-7691-4fa1-8faf-541dfa13463c,4100,246,4346
afd3c71d-2f36-497c-9d6e-19a4c7e0c29c,24ab7728-1554-4d6a-8d41-e280eb5eec99,2018-09-01T14:50:00,e51d657a-7691-4fa1-8faf-541dfa13463c,1800,108,1908
